timestamp_sec,server_user_pct,server_sys_pct,server_total_pct,client_user_pct,client_sys_pct,client_total_pct
1,4.4,0.3,4.7,4.3,0.4,4.6
2,4.4,0.3,4.7,4.3,0.4,4.7
3,4.4,0.3,4.7,4.3,0.4,4.7
4,4.4,0.3,4.8,4.3,0.4,4.7
5,4.4,0.3,4.8,4.3,0.4,4.7
6,4.4,0.3,4.8,4.4,0.4,4.8
7,4.4,0.3,4.8,4.4,0.4,4.8
8,4.5,0.4,4.9,4.4,0.4,4.8
9,4.5,0.4,4.9,4.4,0.4,4.8
10,4.5,0.4,4.9,4.4,0.4,4.8
11,4.5,0.4,4.9,4.4,0.4,4.9
12,4.6,0.4,4.9,4.4,0.4,4.9
13,4.6,0.4,5.0,4.4,0.4,4.9
14,4.6,0.4,5.0,4.4,0.4,4.9
15,4.6,0.4,5.0,4.4,0.4,4.9
16,4.6,0.4,5.0,4.5,0.4,4.9
17,4.6,0.4,5.0,4.5,0.4,4.9
18,4.6,0.4,5.1,4.5,0.4,4.9
19,4.6,0.5,5.1,4.6,0.4,5.0
20,4.6,0.5,5.1,4.6,0.4,5.0
21,4.6,0.5,5.1,4.6,0.4,5.0
22,4.8,0.6,5.3,0.0,0.0,0.0
23,4.8,0.6,5.4,0.0,0.0,0.0
24,4.8,0.6,5.4,0.0,0.0,0.0
25,4.8,0.6,5.4,0.0,0.0,0.0
26,4.8,0.6,5.4,0.0,0.0,0.0
27,4.8,0.6,5.4,0.0,0.0,0.0
28,4.8,0.7,5.5,0.0,0.0,0.0
29,4.8,0.7,5.5,0.0,0.0,0.0
30,4.8,0.8,5.6,0.0,0.0,0.0
