timestamp_sec,server_user_pct,server_sys_pct,server_total_pct,client_user_pct,client_sys_pct,client_total_pct
1,4.4,0.4,4.9,4.1,0.3,4.4
2,4.4,0.4,4.9,4.1,0.3,4.4
3,4.4,0.4,4.9,4.1,0.3,4.4
4,4.4,0.4,4.9,4.2,0.3,4.4
5,4.5,0.5,5.0,4.2,0.3,4.4
6,4.5,0.5,5.0,4.2,0.3,4.4
7,4.5,0.5,5.0,4.2,0.3,4.4
8,4.6,0.5,5.1,4.3,0.3,4.5
9,4.6,0.5,5.1,4.3,0.3,4.5
10,4.6,0.6,5.1,4.3,0.3,4.5
11,4.6,0.6,5.2,4.3,0.3,4.6
12,4.6,0.6,5.2,4.3,0.3,4.6
13,4.6,0.6,5.2,4.3,0.3,4.6
14,4.7,0.6,5.3,4.3,0.3,4.6
15,4.7,0.6,5.3,4.4,0.3,4.6
16,4.7,0.6,5.3,4.4,0.3,4.6
17,4.7,0.6,5.3,4.4,0.3,4.7
18,4.7,0.6,5.3,4.4,0.3,4.7
19,4.8,0.6,5.4,4.4,0.3,4.7
20,4.8,0.6,5.4,4.4,0.3,4.8
21,4.8,0.7,5.4,4.4,0.3,4.8
22,4.8,0.7,5.4,4.4,0.3,4.8
23,4.8,0.7,5.5,4.5,0.3,4.8
24,4.9,0.8,5.7,0.0,0.0,0.0
25,5.0,0.8,5.8,0.0,0.0,0.0
26,5.0,0.8,5.8,0.0,0.0,0.0
27,5.0,0.8,5.8,0.0,0.0,0.0
28,5.1,0.8,5.9,0.0,0.0,0.0
29,5.1,0.9,5.9,0.0,0.0,0.0
30,5.1,0.9,6.0,0.0,0.0,0.0
