timestamp_sec,server_user_pct,server_sys_pct,server_total_pct,client_user_pct,client_sys_pct,client_total_pct
1,0.0,0.0,0.0,0.0,0.0,0.0
2,6.5,41.0,47.5,15.0,22.0,37.0
3,7.0,40.5,47.5,13.0,24.0,37.0
4,7.5,41.0,48.5,15.0,22.5,37.5
5,5.5,42.0,47.5,13.5,23.0,36.5
6,7.0,42.0,49.0,15.0,22.5,37.5
7,6.0,42.0,48.0,15.5,22.0,37.5
8,7.5,40.5,48.0,13.5,24.5,38.0
9,6.5,42.0,48.5,13.5,23.5,37.0
10,5.5,42.5,48.0,14.5,22.5,37.0
11,7.0,40.5,47.5,12.5,24.0,36.5
12,7.0,40.5,47.5,14.0,22.5,36.5
13,1.0,6.5,7.5,-2684.0,-7786.5,-10470.5
14,0.0,0.5,0.5,0.0,0.0,0.0
15,0.0,0.5,0.5,0.0,0.0,0.0
16,0.0,0.5,0.5,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0
21,0.0,0.5,0.5,0.0,0.0,0.0
22,0.5,0.0,0.5,0.0,0.0,0.0
23,0.0,0.5,0.5,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,0.0,0.0
25,0.0,0.5,0.5,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,0.0,0.0
27,0.0,0.5,0.5,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0,0.0,0.0
29,0.0,0.5,0.5,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0,0.0,0.0
